SiteFunctionalLocation,LicenceArea,SiteName,SiteType,SiteVoltage,ESQCROverallRisk,GridRef,SiteAssetCount,PowerTransformerCount,ElectricalAssetCount,CivilAssetCount,Street,Suburb,TownCity,County,PostCode,YearCommissioned,DateCommissioned,SiteClassification,AssessmentDate,Last_Report,CalculatedResistance,MeasuredResistance.Ohm.,Next_AssessmentDate,Easting,Northing,transratingwinter,transratingsummer,reversepower,maxdemandsummer,maxdemandwinter,Spatial Coordinates,local_authority,local_authority_code,what3words
SPN-S000000008025,South Eastern Power Networks (SPN),HAMPTON 33KV,Primary Substation,33,Medium,TQ1395270503,16,0,16,0,GLOUCESTER ROAD,,HAMPTON,Middlesex,TW12 3AJ,NA,1992-04-01,COLD,2018-04-04,ELP0062003-R01,6.90Ω 0.00Deg,0.09,2034-11-26,513952,170503,NA,NA,NA,NA,NA,"51.4220936774884, -0.362522349393679",Richmond upon Thames,E09000027,assets.bound.cared
SPN-S000000008202,South Eastern Power Networks (SPN),ASHFORD WEST 33KV,Primary Substation,33,Very High,TQ9206642279,14,0,14,0,PLUCKLEY ROAD,,BETHERSDEN,Kent,TN26 3EF,NA,1901-04-01,NA,,NA,NA,,2028-11-30,592066,142279,NA,NA,NA,NA,NA,"51.1475416187348, 0.744648919486528",Ashford,E07000105,annual.convinced.parent
SPN-S000000008231,South Eastern Power Networks (SPN),HAILSHAM TEE,Primary Substation,33,Medium,TQ5798008944,3,0,3,0,,,HAILSHAM,East Sussex,BN27 3XA,NA,1938-04-01,NA,,NA,NA,,2040-11-30,557980,108944,NA,NA,NA,NA,NA,"50.8584334982405, 0.243259909883704",Wealden,E07000065,launch.plotted.cavalier
SPN-S000000008260,South Eastern Power Networks (SPN),MOGDEN STW,Primary Substation,33,Medium,TQ1545974866,125,2,125,0,MOGDEN STW THAMES WATER SITE,MOGDEN LANE,ISLEWORTH,Middlesex,TW7 7LR,NA,1966-04-01,COLD,2018-07-05,ELP0062021-R01,2.52Ω 0.00Deg,0.06,2034-11-26,515459,174866,NA,NA,NA,NA,NA,"51.4610027017595, -0.339436640795148",Hounslow,E09000018,maple.vows.solo
SPN-S000000008304,South Eastern Power Networks (SPN),BETTESHANGER LOCAL 33/11KV,Primary Substation,33,High,TR3354752991,91,2,91,0,OFF CIRCULAR ROAD,,BETTESHANGER,Kent,CT14 0LT,NA,1932-04-01,COLD,2010-06-02,P-10-696-16,NA,0.1,2032-11-26,633547,152991,"24, 24","18, 18",100%,9.2,12.5,"51.2282942287575, 1.34369028190535",Dover,E07000108,fruits.rinses.episode
SPN-S000000008312,South Eastern Power Networks (SPN),AYLESFORD 33/6.6KV,Primary Substation,33,High,TQ7209958619,94,3,94,0,STATION ROAD,,AYLESFORD,Kent,ME20 7JH,NA,1951-04-01,HOT,2015-10-06,ESL0952007-R01 RD,NA,,2029-11-26,572099,158619,"24, 24, 20","18, 18, 15",100%,19.6,23.3,"51.3006804902293, 0.467312962378983",Tonbridge and Malling,E07000115,skyrocket.unsigned.correct
SPN-S000000008319,South Eastern Power Networks (SPN),KENARDINGTON 33/6.6KV,Primary Substation,33,Very High,TQ9709132744,86,2,86,0,APPLEDORE ROAD,,KENARDINGTON,Kent,TN26 2LZ,NA,1936-04-01,HOT,2023-07-23,ELP009103-R02,1.50Ω 0.00Deg,0.21,2028-11-26,597091,132744,"15, 7","11, 5","<100%, 100%",1.9,3.5,"51.06019882791, 0.811198677158435",Ashford,E07000105,zone.chromatic.edges
SPN-S000000008340,South Eastern Power Networks (SPN),POLEGATE TOWN 33/11KV,Primary Substation,33,Medium,TQ5825804328,98,2,98,0,EASTBOURNE ROAD,,POLEGATE,East Sussex,BN26 5DD,NA,1926-04-01,COLD,2011-11-28,P-11-1366,NA,0.14,2040-11-22,558258,104328,"23, 23","17, 17",4MVA,6.7,11.4,"50.8168801437218, 0.245214725482652",Wealden,E07000065,paths.pinch.windy
SPN-S000000008342,South Eastern Power Networks (SPN),RICHBOROUGH 33/11KV,Primary Substation,33,Very High,TR3344760117,101,2,101,0,RAMSGATE ROAD,,SANDWICH,Kent,CT13 9ND,NA,1933-04-01,COLD,2010-05-24,P-10-696-19,NA,0.12,2032-11-26,633447,160117,"24, 24","18, 18",100%,8.1,9.6,"51.2923016740615, 1.34690740824165",Dover,E07000108,choppy.billiard.husband
SPN-S000000008344,South Eastern Power Networks (SPN),SITTINGBOURNE TOWN 33/11KV,Primary Substation,33,Very High,TQ9184963892,54,2,54,0,MURSTON,,SITTINGBOURNE,Kent,ME10 3NN,NA,1934-04-01,COLD,2017-05-30,ESL1991002-R01,0.49Ω 0.00Deg,0.06,2030-11-26,591849,163892,"40, 40","30, 30",100%,17.4,16.6,"51.3417317938227, 0.753122613860262",Swale,E07000113,rice.goes.panels
SPN-S000000008347,South Eastern Power Networks (SPN),SUTTON A 33/11KV,Primary Substation,33,Medium,TQ2630863869,90,2,90,0,WELLESLEY ROAD,,SUTTON,Surrey,SM1 4SL,NA,1960-04-01,COLD,2022-06-07,ELP07262020-R01,0.09Ω 0.00Deg,,2038-11-26,526308,163869,"24, 24","18, 18",100%,14.4,20.3,"51.3598571089663, -0.187266288002236",Sutton,E09000029,films.finest.spray
SPN-S000000008352,South Eastern Power Networks (SPN),TWICKENHAM 33/11KV,Primary Substation,33,Medium,TQ1542473376,158,4,158,0,WARWICK RD,,TWICKENHAM,Middlesex,TW2 6SP,NA,1964-04-01,COLD,2018-04-17,ELP0062011-R01,2.14Ω 0.00Deg,0.06,2034-11-26,515424,173376,"27, 27, 24, 24","20, 20, 18, 18",100%,23,34.8,"51.4476180721927, -0.340425920684922",Richmond upon Thames,E09000027,strong.casual.help
SPN-S000000008354,South Eastern Power Networks (SPN),WORTHING TOWN 33KV,Primary Substation,33,Medium,TQ1518103146,169,4,169,0,OPP WORTHING HOSPITAL,,WORTHING,West Sussex,BN11 2BY,NA,1964-04-01,COLD,2017-06-07,ESL1991018-R01,0.91Ω 0.00Deg,0.06,2031-11-26,515181,103146,"23, 23, 23, 23","17, 17, 17, 17","13.81MVA,  16.37MVA,  12.67MVA",25.8,32.1,"50.8164174514942, -0.366348944137833",Worthing,E07000229,lung.occurs.areas
SPN-S000000008358,South Eastern Power Networks (SPN),BENSHAM GROVE 6.6KV,Primary Substation,33,High,TQ3203869277,128,2,128,0,ATHOLE TERRANCE,,THORNTON HEATH,Surrey,CR7 8HQ,NA,1963-04-01,COLD,2022-05-04,ELP07262013-R01,0.83Ω 0.00Deg,0.06,2038-11-26,532038,169277,"24, 24","18, 18",100%,6.4,10,"51.4071556069463, -0.103006904141707",Croydon,E09000008,winter.mull.nation
SPN-S000000008377,South Eastern Power Networks (SPN),APCM SWANSCOMBE 33/3KV,Primary Substation,33,Medium,TQ6011675130,38,3,38,0,MANOR WAY,SWANSCOMBE,GRAVESEND,Kent,DA10 0LL,NA,1957-04-01,HOT,2011-12-14,P-11-1088-01,0.39Ω 0.00Deg,,2026-11-26,560116,175130,NA,NA,NA,NA,NA,"51.4525158455439, 0.303009715678596",Dartford,E07000107,state.races.takes
SPN-S000000008378,South Eastern Power Networks (SPN),WITHDEAN 33KV,Primary Substation,33,High,TQ2991007654,98,2,98,0,LONDON ROAD,WITHDEAN,BRIGHTON,East Sussex,BN1 8PU,NA,1945-04-01,HOT,2015-10-27,ESL0952005-R01 RD,2.66Ω 0.00Deg,0.33,2031-11-26,529910,107654,"24, 24","20, 20",100%,12.2,16.8,"50.8538211666084, -0.155780247437696",Brighton and Hove,E06000043,leader.filed.mental
SPN-S000000008379,South Eastern Power Networks (SPN),COULSDON 33/11KV,Primary Substation,33,High,TQ2962759414,143,2,143,0,LION GREEN ROAD,,COULSDON,Surrey,CR5 2NL,NA,1952-04-01,COLD,2022-06-20,ELP07262018-R01,3.97Ω 0.00Deg,0.19,2026-11-26,529627,159414,"40, 40","30, 30",100%,17.2,26.1,"51.3190732065932, -0.141243485983054",Croydon,E09000008,maybe.body.lung
SPN-S000000008383,South Eastern Power Networks (SPN),CRAWLEY INDUSTRIAL EAST 33/11KV,Primary Substation,33,High,TQ2818438945,146,3,146,0,MANOR ROYAL IND EST,,CRAWLEY,West Sussex,RH10 9JU,NA,1963-04-01,COLD,2014-02-11,P-11-1063,0.08Ω 0.00Deg,,2025-11-26,528184,138945,"23, 20, 20","18, 15, 15",100%,20.6,20.9,"51.1354393754552, -0.169253596536083",Crawley,E07000226,dame.bugs.trucks
SPN-S000000008384,South Eastern Power Networks (SPN),CRAWLEY IND EST WEST,Primary Substation,33,Medium,TQ2738838395,106,2,106,0,IND ESTATE,,CRAWLEY,West Sussex,RH10 9AD,NA,1949-04-01,COLD,2013-11-26,P-13-3260-01,NA,0.05,2025-11-26,527388,138395,"24, 24","20, 20",100%,10.7,16.4,"51.1306737206038, -0.180818876251869",Crawley,E07000226,cargo.dinner.laptop
SPN-S000000008385,South Eastern Power Networks (SPN),CRAWLEY TOWN 33KV,Primary Substation,33,Medium,TQ2869236973,164,4,164,0,STEPHENSON WAY,,CRAWLEY,West Sussex,RH10 1LR,NA,1911-04-01,HOT,2012-11-15,P-12-2104-01,0.19Ω 3.00Deg,0.12,2025-11-26,528692,136973,"24, 24, 24, 24","18, 18, 18, 18",100%,22.5,29.4,"51.1176023620788, -0.162700185396882",Crawley,E07000226,begins.tone.weedy
SPN-S000000008387,South Eastern Power Networks (SPN),STEEL CROSS 33/6.6KV,Primary Substation,33,Very High,TQ5319131958,48,1,48,0,STEEL CROSS,,ROTHERFIELD,East Sussex,TN6 2XA,NA,1935-04-01,HOT,2011-11-28,P-11-1314,NA,0.39,2027-11-26,553191,131958,15,8,100%,3.4,3.9,"51.0665196510291, 0.18495133236248",Wealden,E07000065,lobbed.erupt.umbrellas
SPN-S000000008389,South Eastern Power Networks (SPN),DEAL PRIMARY 33/11KV,Primary Substation,33,High,TR3676952909,107,2,107,0,SOUTHWALL ROAD,,DEAL,Kent,CT14 9LX,NA,1955-04-01,COLD,2010-05-07,P-10-696-17,NA,0.11,2032-11-26,636769,152909,"24, 24","20, 20",100%,7.6,9.7,"51.2262318050508, 1.38969856355954",Dover,E07000108,duty.hope.city
SPN-S000000008390,South Eastern Power Networks (SPN),D.W.S. 33/6.6KV,Primary Substation,33,Medium,TQ4770129164,43,1,43,0,MARESFIELD HARTFIELD RD B2026,,CROWBOROUGH,East Sussex,TN22 3JJ,NA,1940-04-01,COLD,2016-07-26,ESL1520023-R01,18.14Ω 0.00Deg,0.25,2040-11-22,547701,129164,7,5,<100%,1,1.8,"51.042850235191, 0.105517043614052",Wealden,E07000065,shuttered.fizzled.acid
SPN-S000000008391,South Eastern Power Networks (SPN),DOVER PRIMARY 33/11KV,Primary Substation,33,Very High,TR3176541865,162,4,162,0,PARK STREET,,DOVER,Kent,CT16 1RH,NA,1932-04-01,HOT,2011-07-28,P-11-993-02,NA,0.23,2028-11-26,631765,141865,"24, 24, 14, 14","20, 20, 12, 12",100%,23.3,37.7,"51.1291430170208, 1.31104348609471",Dover,E07000108,famed.paying.gasp
SPN-S000000008397,South Eastern Power Networks (SPN),EFFINGHAM 33/11KV,Primary Substation,33,Medium,TQ1153753822,84,2,84,0,ORESTAN LANE,,EFFINGHAM,Surrey,KT24 5SP,NA,1932-04-01,COLD,2019-03-11,ELP02013009-R01,3.96Ω 0.00Deg,0.07,2035-11-26,511537,153822,"24, 24","20, 20",100%,8.8,14.4,"51.2726415464543, -0.402462533824124",Guildford,E07000209,roof.washed.runs
SPN-S000000008399,South Eastern Power Networks (SPN),ESHER 33/11KV,Primary Substation,33,High,TQ1452365419,126,3,126,0,PORTSMOUTH ROAD,,ESHER,Surrey,KT10 9AA,NA,1962-04-01,COLD,2019-02-14,ELP02013001-R01,72.40Ω 0.00Deg,0.1,2035-11-26,514523,165419,"24, 24, 24","20, 20, 20",100%,23.2,34,"51.3762841733607, -0.355952917198262",Elmbridge,E07000207,salsa.actor.hush
SPN-S000000008409,South Eastern Power Networks (SPN),GRAVESEND TOWN 6.6KV,Primary Substation,33,Medium,TQ6577774086,113,2,113,0,SUFFOLK ROAD,,GRAVESEND,Kent,DA12 2SW,NA,1963-04-01,COLD,2020-03-27,ELP03608001-R01,1.90Ω 0.00Deg,0.03,2036-11-26,565777,174086,"24, 24","20, 20",100%,10.6,13,"51.4415090524139, 0.383920024603466",Gravesham,E07000109,wink.skins.aims
SPN-S000000008410,South Eastern Power Networks (SPN),CANTERBURY TOWN 33KV,Primary Substation,33,Medium,TR1524458503,193,3,193,0,KINGSMEAD ROAD,,CANTERBURY,Kent,CT1 1BW,NA,1938-04-01,HOT,2010-10-26,P-10-696-131,0.14Ω 0.00Deg,,2030-11-26,615244,158503,"23, 23, 23","17, 17, 17",<100%,24.2,36.2,"51.2849764326037, 1.08527611524698",Canterbury,E07000106,food.super.also
SPN-S000000008412,South Eastern Power Networks (SPN),HAMPTON 33/11KV,Primary Substation,33,Medium,TQ1395270503,96,2,96,0,120 GLOUCESTER ROAD,,HAMPTON,Middlesex,TW12 2UW,NA,1967-04-01,COLD,2018-04-04,ELP0062003-R01,6.90Ω 0.00Deg,0.09,2034-11-26,513952,170503,"24, 24","20, 20",100%,11.6,13,"51.4220936774884, -0.362522349393679",Richmond upon Thames,E09000027,assets.bound.cared
SPN-S000000008413,South Eastern Power Networks (SPN),HANGLETON 33 KV,Primary Substation,33,High,TQ2696706537,68,2,68,0,HANGLETON ROAD,HANGLETON,HOVE,East Sussex,BN3 8LA,NA,1960-04-01,COLD,2016-05-17,ESL1520008-R01,1.25Ω 0.00Deg,0.12,2031-11-26,526967,106537,"24, 24","20, 20",100%,8.6,13.1,"50.8444344933, -0.197955048467093",Brighton and Hove,E06000043,forget.drum.flown
SPN-S000000008425,South Eastern Power Networks (SPN),GRAIN 33/11KV,Primary Substation,33,High,TQ8708275264,141,2,141,0,NR GRAIN,,ISLE OF GRAIN,Kent,ME3 0AD,NA,1951-04-01,COLD,2020-02-28,ELP03608002-R01,0.73Ω 0.00Deg,0.04,2036-11-26,587082,175264,"13, 13","10, 10",100%,2.8,2.8,"51.4454596154901, 0.690750147406203",Medway,E06000035,native.repaying.incisions
SPN-S000000008428,South Eastern Power Networks (SPN),LITTLE CHART 33/6.6KV,Primary Substation,33,Very High,TQ9429945918,63,2,63,0,ASHFORD ROAD,,LITTLE CHART,Kent,TN27 0PS,NA,1932-04-01,HOT,2010-10-22,P-10-696-37,NA,0.14,2028-11-26,594299,145918,"7, 7","7, 7","<100%, 100%",4.5,6.8,"51.1794719381613, 0.77849901750368",Ashford,E07000105,recording.fees.charts
SPN-S000000008430,South Eastern Power Networks (SPN),LEWES CENTRAL 33KV,Primary Substation,33,High,TQ4202810132,100,2,100,0,TURNING OFF SOUTHSIDE,CLIFFE HIGH STREET,LEWES,East Sussex,BN7 2AS,NA,1948-04-01,COLD,2023-02-20,ELP09358003-R01,0.52Ω 0.00Deg,0.11,2039-11-26,542028,110132,"13, 13","10, 10",100%,8.5,11,"50.8732445574692, 0.0172281417222327",Lewes,E07000063,squirts.parting.keys
SPN-S000000008431,South Eastern Power Networks (SPN),LITTLEHAMPTON 33KV,Primary Substation,33,High,TQ0283002229,154,3,154,0,EAST SIDE OF DUKE STREET,,LITTLEHAMPTON,West Sussex,BN17 7DB,NA,1948-04-01,COLD,2010-06-01,P-09-667-01,NA,0.09,2031-11-26,502830,102229,"24, 24, 24","18, 18, 18",100%,14.1,20.3,"50.810496313354, -0.541866441656141",Arun,E07000224,lies.idea.aware
SPN-S000000008433,South Eastern Power Networks (SPN),MARDEN 33/11KV,Primary Substation,33,Very High,TQ7418944773,87,2,87,0,PATTENDEN ROAD,,MARDEN,Kent,TN12 9QS,NA,1930-04-01,COLD,2016-06-23,ESL0677-R02,NA,0.09,2027-11-26,574189,144773,"15, 15","8, 8",<100%,4.8,7.3,"51.1756619558011, 0.490534373189508",Maidstone,E07000110,critic.jigging.fond
SPN-S000000008436,South Eastern Power Networks (SPN),MINSTER 33/6.6KV,Primary Substation,33,Very High,TQ9494572521,32,2,32,0,OFF HARPS AVENUE,MINSTER,SHEPPEY,Kent,ME12 3PG,NA,1958-04-01,COLD,2010-10-26,P-10-696-84,0.10Ω 0.00Deg,,2030-11-26,594945,172521,"15, 15","12, 12",<100%,5.6,8.4,"51.4181755803063, 0.802248910695697",Swale,E07000113,cold.opts.awakes
SPN-S000000008438,South Eastern Power Networks (SPN),MOUNTFIELD 33KV,Primary Substation,33,High,TQ7242019490,69,2,69,0,BRITISH GYPSUM MINES,,MOUNTFIELD,East Sussex,TN32 5LA,NA,1931-04-01,HOT,2014-02-06,P-14-3397-01,0.15Ω 0.00Deg,,2040-11-22,572420,119490,"13, 13","10, 10",100%,7.4,10,"50.9490589725163, 0.453212451572045",Rother,E07000064,short.feast.etchings
SPN-S000000008439,South Eastern Power Networks (SPN),NEWICK 33/11KV,Primary Substation,33,High,TQ4068222235,80,2,80,0,FLETCHING COMMON,,NEWICK,East Sussex,BN8 4JJ,NA,1932-04-01,HOT,2016-07-26,ESL1520021-R01 RB,3.23Ω 0.00Deg,0.32,2039-11-26,540682,122235,"15, 15","11, 11",5MVA,5.3,9.4,"50.9823414683587, 0.00277667906573153",Lewes,E07000063,blinking.encloses.dearest
SPN-S000000008449,South Eastern Power Networks (SPN),NORTH WORTHING 33KV,Primary Substation,33,High,TQ1329105501,89,2,89,0,OFFINGTON LANE,,WORTHING,West Sussex,BN13 2RU,NA,1950-04-01,COLD,2016-05-10,ESL1520004-R01,4.30Ω 0.00Deg,0.11,2031-11-26,513291,105501,"24, 24","20, 20",100%,11.4,16.9,"50.8379588886728, -0.39243963618646",Worthing,E07000229,shell.quaking.tallest
SPN-S000000008452,South Eastern Power Networks (SPN),OCKLYNGE 33,Primary Substation,33,Medium,TQ5977400370,82,2,82,0,OPP 34 RODMILL DRIVE,,EASTBOURNE,East Sussex,BN21 1TS,NA,1963-04-01,COLD,2014-02-05,P-14-3398-01,0.06Ω 0.00Deg,,2040-11-22,559774,100370,"24, 24","20, 20",100%,7.8,12.2,"50.7808995801237, 0.26499704038979",Eastbourne,E07000061,fills.rescue.necks
SPN-S000000008460,South Eastern Power Networks (SPN),PULBOROUGH 33/11KV,Primary Substation,33,High,TQ0637118039,86,2,86,0,WICKFORD BRIDGE A283,,PULBOROUGH,West Sussex,RH20 2DT,NA,1933-04-01,HOT,2014-12-16,P-10-846-01,NA,0.14,2025-11-26,506371,118039,"23, 23","18, 18",100%,8.5,12.8,"50.9519783347092, -0.487030444826157",Horsham,E07000227,recap.suspended.clash
SPN-S000000008462,South Eastern Power Networks (SPN),RAINHAM PRIMARY 33/11KV,Primary Substation,33,High,TQ8093465548,114,2,114,0,MAIDSTONE ROAD,RAINHAM,GILLINGHAM,Kent,ME8 0DT,NA,1954-04-01,HOT,2019-02-27,ELP02035-R01,2.03Ω 0.00Deg,0.2,2036-11-26,580934,165548,"24, 24","20, 20",100%,14.1,21,"51.360183061898, 0.597427807179726",Medway,E06000035,tailed.lame.sunbeam
SPN-S000000008468,South Eastern Power Networks (SPN),ROBERTSBRIDGE 33KV,Primary Substation,33,High,TQ7363623723,65,2,65,0,STATION ROAD,,ROBERTSBRIDGE,East Sussex,TN32 5BP,NA,1932-04-01,HOT,2011-11-28,P-11-1365,NA,0.2,2027-11-26,573636,123723,"15, 15","11, 11",100%,2.4,2.7,"50.9867231707817, 0.47252542377737",Rother,E07000064,deeds.windmill.leafing
SPN-S000000008476,South Eastern Power Networks (SPN),RYE 33KV,Primary Substation,33,Very High,TQ9190021533,70,2,70,0,RYE MEMORIAL HOSPITAL,,RYE FOREIGN,East Sussex,TN31 7HT,NA,1931-04-01,HOT,2013-04-12,P-13-2452-01,0.33Ω 0.00Deg,,2027-11-26,591900,121533,"13, 13","10, 10",100%,7.2,10.3,"50.9612590228917, 0.731287779713318",Rother,E07000064,consults.pretty.cured
SPN-S000000008480,South Eastern Power Networks (SPN),SHARNAL STREET 33/11KV,Primary Substation,33,High,TQ7881374305,27,1,27,0,RATCLIFFE HIGHWAY,,HOO,Kent,ME3 8QH,NA,1949-04-01,HOT,2017-04-26,ESL1991012-R01,0.76Ω 0.00Deg,0.51,2036-11-26,578813,174305,6,5,100%,0,0,"51.4395144958777, 0.571405613581984",Medway,E06000035,doghouse.sandals.yarn
SPN-S000000008481,South Eastern Power Networks (SPN),SELSDON 33/11 KV,Primary Substation,33,Medium,TQ3526361845,76,2,76,0,OLD FARLEIGH ROAD,,SELSDON,Surrey,CR2 8RL,NA,1939-04-01,HOT,2022-01-28,ELP07262004-R01,0.18Ω 0.00Deg,,2038-11-26,535263,161845,"24, 24","20, 20",100%,9.9,14.5,"51.3396086906113, -0.0594937547708434",Croydon,E09000008,broom.hops.curve
SPN-S000000008484,South Eastern Power Networks (SPN),SHIRLEY 33/11 KV,Primary Substation,33,Medium,TQ3575365818,82,2,82,0,OFF VERDAYNE ROAD,SHIRLEY,CROYDON,Surrey,CR0 8TE,NA,1965-04-01,COLD,2011-05-23,P-11-1137,NA,0.07,2026-11-26,535753,165818,"24, 24","20, 20",100%,10,14.6,"51.3751952897287, -0.0509485696209466",Croydon,E09000008,splice.estate.match
SPN-S000000008485,South Eastern Power Networks (SPN),SMEETH 33/11KV,Primary Substation,33,Very High,TR0660338241,27,1,27,0,ALDINGTON,,SMEETH,Kent,TN25 6SY,NA,1935-04-01,HOT,2015-10-06,ESL0952014-R01 RD,0.45Ω 0.00Deg,0.56,2028-11-26,606603,138241,7,5,<100%,0.2,0.2,"51.1062218959997, 0.949891486522217",Ashford,E07000105,adhesive.press.doubts
SPN-S000000008491,South Eastern Power Networks (SPN),STELRAD 33/11KV,Primary Substation,33,Very High,TR3752265807,10,1,10,0,PRINCES ROAD,,RAMSGATE,Kent,CT11 7RX,NA,1952-04-01,COLD,2013-04-30,P-13-2528-01,0.22Ω 0.00Deg,,2032-11-26,637522,165807,7,5,100%,0.9,0.9,"51.3416905288169, 1.40903192711193",Thanet,E07000114,desk.senses.camp
SPN-S000000008492,South Eastern Power Networks (SPN),STANFORD PRIMARY,Primary Substation,33,Very High,TR1306238723,98,2,98,0,STONE STREET,,STANFORD,Kent,TN25 6DW,NA,1938-04-01,HOT,2011-12-08,P-11-1411,NA,0.15,2028-11-26,613062,138723,"15, 15","11, 11",<100%,6.3,7.8,"51.1081876089666, 1.04230379821497",Folkestone and Hythe,E07000112,freedom.series.sheds
SPN-S000000008496,South Eastern Power Networks (SPN),SUNDRIDGE 33/11KV,Primary Substation,33,High,TQ4892055589,82,2,82,0,OFF A25 MAIN ROAD,,SUNDRIDGE,Kent,TN14 6ER,NA,1948-04-01,HOT,2018-10-25,ELP01642-R01,1.86Ω 0.00Deg,0.06,2037-11-26,548920,155589,"24, 24","18, 18",100%,11,17.6,"51.2799850251935, 0.133822790681588",Sevenoaks,E07000111,pine.yoga.visual
SPN-S000000008497,South Eastern Power Networks (SPN),SURBITON 33/11KV,Primary Substation,33,Medium,TQ1875366567,113,2,113,0,HOLLYFIELD ROAD,,SURBITON,Surrey,KT5 9AL,NA,1968-04-01,COLD,2018-08-28,ELP0062022-R01,NA,0.03,2034-11-26,518753,166567,"38, 24","29, 18","<100%,  24MVA",9.7,14.7,"51.3857338867586, -0.294822435083174",Kingston upon Thames,E09000021,frog.lovely.flames
SPN-S000000008500,South Eastern Power Networks (SPN),TICEHURST 33/11KV,Primary Substation,33,Medium,TQ6869830278,89,2,88,1,HIGH STREET,,TICEHURST,East Sussex,TN5 7AJ,NA,1950-04-01,HOT,2018-05-30,ELP00915-R01,0.85Ω 0.00Deg,0.17,2040-11-22,568698,130278,"24, 24","12, 12","100%,  <100%",4.1,4.6,"51.0470823089683, 0.40528412380319",Rother,E07000064,uncle.famed.slider
SPN-S000000008502,South Eastern Power Networks (SPN),ASHFORD WEST 33/6.6KV,Primary Substation,33,Very High,TQ9206642280,60,2,60,0,PLUCKLEY ROAD,,BETHERSDEN,Kent,TN26 3EF,NA,1939-04-01,HOT,2009-02-16,P-08-502-25,0.08Ω 0.00Deg,,2028-11-26,592066,142280,NA,NA,NA,2.8,4.8,"51.1475506004188, 0.744649452549122",Ashford,E07000105,annual.convinced.parent
SPN-S000000008509,South Eastern Power Networks (SPN),WEST CROYDON 33/11KV,Primary Substation,33,Medium,TQ3091263877,84,2,84,0,LYSANDER ROAD,,CROYDON,Surrey,CR9 4DL,NA,1964-04-01,HOT,2012-04-18,P-12-1592-01,0.17Ω 0.00Deg,,2026-11-26,530912,163877,"24, 24","20, 20",100%,8.9,13.5,"51.3588876783785, -0.121175093648537",Croydon,E09000008,muddy.sake.repair
SPN-S000000008510,South Eastern Power Networks (SPN),WESTGATE 33/11KV,Primary Substation,33,High,TR3143669246,74,2,74,0,ADJ NO1 URSULINE DRIVE,,WESTGATE ON SEA,Kent,CT7 9BP,NA,1960-04-01,HOT,2015-10-14,ESL0952004-R01 RD,1.58Ω 0.00Deg,0.14,2032-11-26,631436,169246,"24, 24","20, 20",100%,10,14.7,"51.3750692922355, 1.32404283214804",Thanet,E07000114,visual.shoelaces.spelled
SPN-S000000008515,South Eastern Power Networks (SPN),WEYBRIDGE 33/11KV,Primary Substation,33,Medium,TQ0675764797,104,2,104,0,WEYBRIDGE RD,,WEYBRIDGE,Surrey,KT13 8HF,NA,1910-04-01,COLD,2018-07-12,ELP0062013-R01,44.67Ω 0.00Deg,0.1,2034-11-26,506757,164797,"23, 23","17, 17",3.5MVA,12.2,17.4,"51.372205223817, -0.467674894016223",Runnymede,E07000212,intro.desks.translated
SPN-S000000008517,South Eastern Power Networks (SPN),WINGHAM 33/11KV,Primary Substation,33,Very High,TR2438455198,88,2,88,0,ADISHAM ROAD,,WINGHAM,Kent,CT3 3JD,NA,1935-04-01,HOT,2015-12-31,ESL0952003-R01,1.79Ω 0.00Deg,0.32,2030-11-26,624384,155198,"14, 14","12, 12",100%,11.3,13.3,"51.2517811437849, 1.21405703390067",Dover,E07000108,munched.shallower.planting
SPN-S000000008518,South Eastern Power Networks (SPN),COBHAM (SURREY) 33/11KV,Primary Substation,33,Medium,TQ1279760013,98,2,98,0,WATER LANE,,COBHAM,Surrey,KT11 2SQ,NA,1951-04-01,COLD,2019-03-12,ELP02013007-R01,6.66Ω 0.00Deg,0.13,2035-11-26,512797,160013,"24, 24","20, 20",100%,12.5,19.4,"51.3280396771413, -0.382452905969127",Elmbridge,E07000207,commented.cargo.incomes
SPN-S000000008519,South Eastern Power Networks (SPN),WROTHAM HEATH 33/11KV,Primary Substation,33,High,TQ6292358595,54,2,54,0,"A20 JUNCTION A26, NE CORNER",,WROTHAM,Kent,TN15 7RR,NA,1947-04-01,HOT,2013-11-12,P-13-3186-01,NA,0.18,2029-11-26,562923,158595,"24, 24","18, 18",15.22MVA,10.7,15.9,"51.3031628419803, 0.335796293006111",Tonbridge and Malling,E07000115,softly.cherry.pose
SPN-S000000008520,South Eastern Power Networks (SPN),PEVENSEY BAY,Primary Substation,33,High,TQ6497204617,46,2,46,0,WALLSEND ROAD,,PEVENSEY,East Sussex,BN24 5NX,NA,1940-04-01,COLD,2009-10-01,P-09-635,NA,0.09,2040-11-22,564972,104617,"15, 15","11, 11",100%,4.7,7.2,"50.8176047895557, 0.340571306624065",Wealden,E07000065,scrapped.engages.stray
SPN-S000000008522,South Eastern Power Networks (SPN),SWANSCOMBE 33/11 KV,Primary Substation,33,Medium,TQ6011675130,60,3,60,0,MANOR WAY,SWANSCOMBE,GRAVESEND,Kent,DA10 0LL,NA,1963-04-01,HOT,2011-12-14,P-11-1088-01,0.39Ω 0.00Deg,,2026-11-26,560116,175130,"13, 13","10, 10",100%,3.6,5.9,"51.4525158455439, 0.303009715678596",Dartford,E07000107,state.races.takes
